scheme,dt_fraction,dt,energy_ratio,status
Leapfrog,0.5,0.011048543456039804,1.044239,STABLE
Leapfrog,0.75,0.016572815184059706,1.065144,STABLE
Leapfrog,0.9,0.019887378220871648,1.077117,STABLE
Leapfrog,0.95,0.020992232566475626,1.088344,STABLE
Leapfrog,1.0,0.022097086912079608,6.639625e+54,UNSTABLE
Leapfrog,1.05,0.02320194125768359,1.097597,STABLE
Leapfrog,1.1,0.024306795603287572,1.103617,STABLE
Leapfrog,1.2,0.02651650429449553,1.009444e+52,UNSTABLE
Leapfrog,1.4,0.03093592167691145,1.183803e+113,UNSTABLE
Leapfrog,1.6,0.035355339059327376,7.511612e+121,UNSTABLE
Leapfrog,2.0,0.044194173824159216,1.836096e+110,UNSTABLE
RK4,0.5,0.011048543456039804,1.0,STABLE
RK4,0.75,0.016572815184059706,0.9999997,STABLE
RK4,0.9,0.019887378220871648,0.9999993,STABLE
RK4,0.95,0.020992232566475626,0.9999991,STABLE
RK4,1.0,0.022097086912079608,0.9999989,STABLE
RK4,1.05,0.02320194125768359,0.9999986,STABLE
RK4,1.1,0.024306795603287572,0.9999982,STABLE
RK4,1.2,0.02651650429449553,0.9999972,STABLE
RK4,1.4,0.03093592167691145,0.9999939,STABLE
RK4,1.6,0.035355339059327376,0.9999881,STABLE
RK4,2.0,0.044194173824159216,0.9999643,STABLE
